Wavelength,,,,
nm,,,,
Type,ref,ref,ref,ref
AA,α-M,α-M,α-M,α-M
experim,BL1,BL2,BL3,BL4
782,-0.132177,0.78544,1.33959,0.844707
783,0.0775963,0.964058,1.44006,0.86263
784,-0.0429836,0.921119,1.36122,0.849076
785,-0.0132063,0.938042,1.36737,0.871442
786,-0.0924506,0.936522,1.3401,0.931011
787,-0.040415,0.856412,1.43738,0.892856
788,-0.0199164,0.854392,1.54579,0.874211
789,-0.172565,0.704941,1.52536,0.836459
790,-0.0950615,0.6449,1.51488,0.883387
791,0.207993,0.870063,1.46668,0.93042
792,0.162972,0.769537,1.46849,0.884545
793,0.161297,0.754434,1.49156,0.863075
794,0.371097,0.833484,1.50001,0.916029
795,0.333676,0.577697,1.54694,0.801294
796,0.456319,0.666226,1.71685,0.788948
797,0.539085,0.516639,1.766,0.769549
798,0.624149,0.415363,1.78014,0.841171
799,0.609426,0.379523,1.90358,0.814647
800,0.514616,0.223707,1.71162,0.700507
